year,category,game,is_winner,genres
2025,Game of the Year Award,Hollow Knight: Silksong,1,Action;Adventure;Indie
2025,Game of the Year Award,ARC Raiders,0,Action
2025,Game of the Year Award,Clair Obscur: Expedition 33,0,Action;RPG
2025,Game of the Year Award,Dispatch,0,Action;Adventure;Casual;Indie;Strategy
2025,Game of the Year Award,Kingdom Come: Deliverance II,0,Action;Adventure;RPG
2025,VR Game of the Year Award,The Midnight Walk,1,Adventure;Indie
2025,VR Game of the Year Award,Pavlov,0,Action;Indie
2025,VR Game of the Year Award,Emissary Zero,0,Adventure;Indie;Massively Multiplayer
2025,VR Game of the Year Award,F1® 25,0,Racing;Simulation;Sports
2025,VR Game of the Year Award,Le Mans Ultimate,0,Racing;Simulation;Sports
2025,Labor of Love Award,Baldur's Gate 3,1,Adventure;RPG;Strategy
2025,Labor of Love Award,HELLDIVERS™ 2,0,Action
2025,Labor of Love Award,No Man's Sky,0,Action;Adventure
2025,Labor of Love Award,Rust,0,Action;Adventure;Indie;Massively Multiplayer;RPG
2025,Labor of Love Award,Dota 2,0,Action;Strategy;Free To Play
2025,Best Game on Steam Deck Award,Hades II,1,Action;Indie;RPG
2025,Best Game on Steam Deck Award,Digimon Story Time Stranger,0,RPG
2025,Best Game on Steam Deck Award,BALL x PIT,0,Action;Indie
2025,Best Game on Steam Deck Award,CloverPit,0,Action;Adventure;Indie;Simulation;Sports;Strategy
2025,Best Game on Steam Deck Award,Deep Rock Galactic: Survivor,0,Action
2025,Better With Friends Award,PEAK,1,Action;Adventure;Indie
2025,Better With Friends Award,Split Fiction,0,Action;Adventure
2025,Better With Friends Award,R.E.P.O.,0,Action;Early Access
2025,Better With Friends Award,Schedule I,0,Action;Indie;Simulation;Strategy;Early Access
2025,Better With Friends Award,Battlefield™ 6,0,Action
2025,Outstanding Visual Style Award,SILENT HILL f,1,Action;Adventure
2025,Outstanding Visual Style Award,My Little Puppy,0,Action;Adventure;Casual;Indie
2025,Outstanding Visual Style Award,FINAL FANTASY VII REBIRTH,0,Action;Adventure;RPG
2025,Outstanding Visual Style Award,ENA: Dream BBQ,0,Adventure;Indie
2025,Outstanding Visual Style Award,DOOM: The Dark Ages,0,Action
2025,Most Innovative Gameplay Award,ARC Raiders,1,Action
2025,Most Innovative Gameplay Award,Europa Universalis V,0,Strategy
2025,Most Innovative Gameplay Award,Mage Arena,0,Action;Early Access
2025,Most Innovative Gameplay Award,Escape From Duckov,0,Action;Adventure;Indie;RPG
2025,Most Innovative Gameplay Award,Blue Prince,0,Adventure;Indie;Strategy
2025,Best Game You Suck At Award,Hollow Knight: Silksong,1,Action;Adventure;Indie
2025,Best Game You Suck At Award,Where Winds Meet,0,Action;Adventure;RPG;Free To Play
2025,Best Game You Suck At Award,Path of Exile 2,0,Action;Adventure;Massively Multiplayer;RPG;Early Access
2025,Best Game You Suck At Award,ELDEN RING NIGHTREIGN,0,Action;RPG
2025,Best Game You Suck At Award,Marvel Rivals,0,Action;Free To Play
2025,Best Soundtrack Award,Clair Obscur: Expedition 33,1,Action;RPG
2025,Best Soundtrack Award,DELTARUNE,0,Indie;RPG
2025,Best Soundtrack Award,Rift of the NecroDancer,0,Action;Indie;RPG
2025,Best Soundtrack Award,Marvel's Spider-Man 2,0,Action;Adventure
2025,Best Soundtrack Award,Tokyo Xtreme Racer,0,Racing;RPG
2025,Outstanding Story-Rich Game Award,Dispatch,1,Action;Adventure;Casual;Indie;Strategy
2025,Outstanding Story-Rich Game Award,The Last of Us™ Part II Remastered,0,Action;Adventure
2025,Outstanding Story-Rich Game Award,Dying Light: The Beast,0,Action;Adventure;RPG
2025,Outstanding Story-Rich Game Award,Kingdom Come: Deliverance II,0,Action;Adventure;RPG
2025,Outstanding Story-Rich Game Award,"No, I'm not a Human",0,Indie;Simulation
2025,Sit Back and Relax Award,RV There Yet?,1,Action;Adventure;Indie
2025,Sit Back and Relax Award,Megabonk,0,Action;Casual;Indie
2025,Sit Back and Relax Award,Chill with You : Lo-Fi Story,0,Adventure;Casual;Indie
2025,Sit Back and Relax Award,Slime Rancher 2,0,Action;Adventure;Casual;Indie;Simulation
2025,Sit Back and Relax Award,PowerWash Simulator 2,0,Casual;Indie;Simulation
2024,Game of the Year Award,Black Myth: Wukong,1,Action;Adventure;RPG
2024,Game of the Year Award,"Warhammer 40,000: Space Marine 2",0,Action;Adventure;RPG
2024,Game of the Year Award,S.T.A.L.K.E.R. 2: Heart of Chornobyl,0,Action;Adventure;RPG
2024,Game of the Year Award,Balatro,0,Casual;Indie;Strategy
2024,Game of the Year Award,HELLDIVERS™ 2,0,Action
2024,VR Game of the Year Award,Metro Awakening,1,Action;Adventure
2024,VR Game of the Year Award,Blade and Sorcery,0,Action;Adventure;Indie;RPG;Simulation
2024,VR Game of the Year Award,DAVIGO: VR vs. PC,0,Action;Indie;Early Access
2024,VR Game of the Year Award,Five Nights at Freddy's: Help Wanted 2,0,Indie;Simulation
2024,VR Game of the Year Award,Maestro,0,Casual;Indie;Simulation
2024,Labor of Love Award,ELDEN RING,1,Action;RPG
2024,Labor of Love Award,Dota 2,0,Action;Strategy;Free To Play
2024,Labor of Love Award,No Man's Sky,0,Action;Adventure
2024,Labor of Love Award,Stardew Valley,0,Indie;RPG;Simulation
2024,Labor of Love Award,Baldur's Gate 3,0,Adventure;RPG;Strategy
2024,Best Game on Steam Deck Award,God of War Ragnarök,1,Action;Adventure;RPG
2024,Best Game on Steam Deck Award,Hades II,0,Action;Indie;RPG
2024,Best Game on Steam Deck Award,"Warhammer 40,000: Rogue Trader",0,Action;Adventure;Indie;RPG;Strategy
2024,Best Game on Steam Deck Award,Deep Rock Galactic: Survivor,0,Action
2024,Best Game on Steam Deck Award,Balatro,0,Casual;Indie;Strategy
2024,Better With Friends Award,HELLDIVERS™ 2,1,Action
2024,Better With Friends Award,Satisfactory,0,Adventure;Indie;Simulation;Strategy
2024,Better With Friends Award,Sons Of The Forest,0,Action;Adventure;Indie;Simulation
2024,Better With Friends Award,Palworld,0,Action;Adventure;Indie;RPG;Early Access
2024,Better With Friends Award,"Warhammer 40,000: Space Marine 2",0,Action;Adventure;RPG
2024,Outstanding Visual Style Award,SILENT HILL 2,1,Action;Adventure
2024,Outstanding Visual Style Award,Hades II,0,Action;Indie;RPG
2024,Outstanding Visual Style Award,Nine Sols,0,Action;Adventure;Indie
2024,Outstanding Visual Style Award,Neva,0,Action;Adventure;Indie
2024,Outstanding Visual Style Award,Metaphor: ReFantazio,0,Action;Adventure;RPG
2024,Most Innovative Gameplay Award,Liar's Bar,1,Casual;Indie;Simulation;Strategy;Early Access
2024,Most Innovative Gameplay Award,Satisfactory,0,Adventure;Indie;Simulation;Strategy
2024,Most Innovative Gameplay Award,HELLDIVERS™ 2,0,Action
2024,Most Innovative Gameplay Award,S.T.A.L.K.E.R. 2: Heart of Chornobyl,0,Action;Adventure;RPG
2024,Most Innovative Gameplay Award,Balatro,0,Casual;Indie;Strategy
2024,Best Game You Suck At Award,Black Myth: Wukong,1,Action;Adventure;RPG
2024,Best Game You Suck At Award,TEKKEN 8,0,Action
2024,Best Game You Suck At Award,DRAGON BALL: Sparking! ZERO,0,Action
2024,Best Game You Suck At Award,THE FINALS,0,Action;Free To Play
2024,Best Game You Suck At Award,Ghost of Tsushima DIRECTOR'S CUT,0,Action;Adventure
2024,Best Soundtrack Award,Red Dead Redemption,1,Action
2024,Best Soundtrack Award,Frostpunk 2,0,Simulation;Strategy
2024,Best Soundtrack Award,SILENT HILL 2,0,Action;Adventure
2024,Best Soundtrack Award,Fate/stay night REMASTERED,0,Adventure
2024,Best Soundtrack Award,Horizon Forbidden West™ Complete Edition,0,Action;RPG
2024,Outstanding Story-Rich Game Award,Black Myth: Wukong,1,Action;Adventure;RPG
2024,Outstanding Story-Rich Game Award,S.T.A.L.K.E.R. 2: Heart of Chornobyl,0,Action;Adventure;RPG
2024,Outstanding Story-Rich Game Award,Ghost of Tsushima DIRECTOR'S CUT,0,Action;Adventure
2024,Outstanding Story-Rich Game Award,Mouthwashing,0,Adventure;Indie
2024,Outstanding Story-Rich Game Award,FINAL FANTASY XVI,0,Action;RPG
2024,Sit Back and Relax Award,Farming Simulator 25,1,Simulation
2024,Sit Back and Relax Award,House Flipper 2,0,Casual;Indie;Simulation
2024,Sit Back and Relax Award,Tiny Glade,0,Casual;Indie;Simulation
