appid;name;release_year;release_date;genres;categories;price;recommendations;developer;publisher;genres_split
2403270;Hot And Lovely ：Violet;2023;Jul 27, 2023;Unspecified;"Single-player;Steam Achievements;Steam Cloud;Family Sharing";2.99;154;Lovely Games;"Lovely Games Hentai Club;Lovely Games";['Unspecified']
1883530;SnackHunter;2022;Jul 8, 2022;Unspecified;"Multi-player;PvP;Online PvP;Shared/Split Screen PvP;Co-op;Online Co-op;Shared/Split Screen Co-op;Shared/Split Screen;Steam Achievements;Family Sharing";9.99;0;PolyPirates UG;Unknown;['Unspecified']
3676960;THE LAST TRAIN: Baquedano;2025;May 14, 2025;Unspecified;"Single-player;Steam Achievements;Full controller support;Family Sharing";3.99;268;Matías Avilés;Plastic Frog;['Unspecified']
3042660;The Villainess Is Adored by the Prince of the Neighbor Kingdom;2024;Sep 29, 2024;Unspecified;"Single-player;Steam Achievements;Family Sharing";29.99;0;OPERAHOUSE;OPERAHOUSE;['Unspecified']
2998560;Caïssa Board Dedicated Server;2024;Jun 3, 2024;Unspecified;Family Sharing;0.0;0;Unknown;Unknown;['Unspecified']
2177490;Spring X Elixir;2023;Feb 13, 2023;Unspecified;"Single-player;Steam Achievements;Family Sharing";0.99;0;XXXXXXX;XXXXXXXXX;['Unspecified']
1995800;Zodiac fantasy;2022;Jul 21, 2022;Unspecified;"Single-player;Steam Achievements;Steam Cloud;Family Sharing";2.99;175;Lovely Games;"Lovely Games Hentai Club;Lovely Games";['Unspecified']
1247100;SpellMaster: The Saga;2022;Feb 16, 2022;Unspecified;"Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Family Sharing";24.99;411;Spellbook Creations;Valkyrie Initiative;['Unspecified']
1801280;SCP: CB Multiplayer Dedicated Server;2021;Oct 25, 2021;Unspecified;Family Sharing;0.0;0;Unknown;Unknown;['Unspecified']
1491670;Venba;2023;Jul 31, 2023;Unspecified;"Single-player;Steam Achievements;Full controller support;Family Sharing";14.99;1922;Visai Games;Visai Games;['Unspecified']
1895760;Coral Drive;2022;Mar 10, 2022;Unspecified;"Single-player;Family Sharing";1.99;0;Happy Daram Inc.;Happy Daram Inc.;['Unspecified']
1791790;Fire and Steel;2021;Dec 14, 2021;Unspecified;"Single-player;Steam Achievements;Full controller support;Steam Leaderboards;Family Sharing";6.99;201;Kreatin Studios;Kreatin Studios;['Unspecified']
3172180;Hot And Lovely Waifu XXII;2024;Oct 1, 2024;Unspecified;"Single-player;Steam Achievements;Steam Cloud;Family Sharing";7.99;0;Lovely Games;"Lovely Games Hentai Club;Lovely Games";['Unspecified']
3172060;Sex Interview: Ice Cream;2024;Sep 20, 2024;Unspecified;"Single-player;Steam Achievements;Steam Cloud;Family Sharing";3.99;0;L&P;"Lovely Games Hentai Club;Lovely Games";['Unspecified']
1775490;Slice & Dice;2024;Mar 20, 2024;Unspecified;"Single-player;Steam Achievements;Steam Cloud;Includes level editor;Family Sharing";8.99;2253;Tann;Tann;['Unspecified']
1795960;Twins Edge : Back and Forth;2022;Jan 24, 2022;Unspecified;"Single-player;Steam Achievements;Family Sharing";3.99;204;Lovely Games;Lovely Games;['Unspecified']
2832900;Indiana Jones and the Great Circle - Digital Artbook;2024;Dec 8, 2024;Unspecified;"Single-player;Family Sharing";0.0;0;MachineGames;Bethesda Softworks;['Unspecified']
2332940;Typechart Studio;2023;Apr 21, 2023;Unspecified;Family Sharing;0.0;0;Unknown;Unknown;['Unspecified']
1709500;Adorable Witch 2;2021;Oct 21, 2021;Unspecified;"Single-player;Steam Achievements;Family Sharing";1.99;552;Lovely Games;Lovely Games;['Unspecified']
1709460;Hot And Lovely 4;2021;Sep 15, 2021;Unspecified;"Single-player;Steam Achievements;Family Sharing";1.99;220;Lovely Games;Lovely Games;['Unspecified']
3482260;GTA+;2025;Mar 4, 2025;Unspecified;Unspecified;7.99;0;Rockstar Games;Rockstar Games;['Unspecified']
1505830;Evil Shogun;2021;Jul 20, 2021;Unspecified;"Single-player;Family Sharing";1.0;0;"A. A. Bills;Rino Ito";Flat 47 Productions;['Unspecified']
1688010;GotG Dedicated Server;2021;Sep 10, 2021;Unspecified;Family Sharing;0.0;0;Unknown;Unknown;['Unspecified']
3395140;小小侠客模拟器;2025;Sep 12, 2025;Unspecified;"Single-player;Steam Achievements;Family Sharing";2.99;1006;小小游戏;小小游戏;['Unspecified']
2649230;Joy Life 3;2023;Dec 1, 2023;Unspecified;"Single-player;Family Sharing";3.99;134;L&P;Lovely Games;['Unspecified']
1740000;Cute Honey: Bunny Girl;2021;Nov 25, 2021;Unspecified;"Single-player;Steam Achievements;Steam Cloud;Family Sharing";4.99;838;Lovely Games;Lovely Games;['Unspecified']
1864070;YUME : Special Edition;2022;Mar 25, 2022;Unspecified;"Single-player;Steam Achievements;Family Sharing";3.99;0;Lovely Games;Lovely Games;['Unspecified']
2096790;Assassin's Vol.;2022;Oct 26, 2022;Unspecified;"Single-player;Steam Achievements;Family Sharing";2.99;103;Lovely Games;Lovely Games;['Unspecified']
1481340;飄流幻境M;2024;Jun 25, 2024;Unspecified;"Multi-player;MMO;PvP;Online PvP;Co-op;Online Co-op;Cross-Platform Multiplayer;In-App Purchases";0.0;0;Chinesegamer;Chinesegamer;['Unspecified']
2095290;Theseus Protocol;2023;Aug 22, 2023;Unspecified;"Single-player;Steam Cloud;Family Sharing";9.99;318;YueTang(Xiamen);Archive Games;['Unspecified']
2497280;Joy Life;2023;Aug 11, 2023;Unspecified;"Single-player;Family Sharing";3.99;307;L&P;Lovely Games;['Unspecified']
3085640;Hypnosis Card 2 Happy Life;2024;Oct 25, 2024;Unspecified;"Single-player;Steam Achievements;Steam Cloud;Steam Leaderboards;Family Sharing";12.99;231;Naku Kinoko;"Lovely Games Hentai Club;Lovely Games";['Unspecified']
2487680;Burger Kombat;2024;Aug 14, 2024;Unspecified;"Single-player;Steam Achievements";0.0;0;Four Guys, One Burger;Four Guys, One Burger;['Unspecified']
1613450;Halo 2 Mod Tools - MCC;2021;Oct 13, 2021;Unspecified;Family Sharing;0.0;0;"343 Industries;Saber Interactive;Bungie";Xbox Games Studios;['Unspecified']
1954420;Riichi City × The Quintessential Quintuplets Specials 2;2022;Sep 8, 2022;Unspecified;"Multi-player;PvP;Online PvP;Cross-Platform Multiplayer;In-App Purchases";0.0;0;Formirai Co., Ltd.;Formirai Co., Ltd.;['Unspecified']
2078120;Hot And Lovely 5;2022;Aug 5, 2022;Unspecified;"Single-player;Steam Achievements;Family Sharing";1.99;264;Lovely Games;"Lovely Games Hentai Club;Lovely Games";['Unspecified']
